"age_at_death","birth_date","died","eva_count","eva_duration","fai_flight_count","fai_flight_duration","flown","name","nationality","non_fai_flight_count","non_fai_flight_duration","selection_group","significant_flight_count","significant_flight_duration","status"
"","1939-01-28","","0","","2","13d 4h 2m 51s","False","John McCreary Fabian","American","0","","NASA Group 8","0","","Retired"
"","1951-05-26","","0","","1","7d 23h 4m 55s","False","Mohammed Ahmed Faris","Syrian","0","","International Group","0","","Retired"
"","1949-08-02","","0","","1","7d 20h 45m 44s","False","Bertalan   Farkas","Hungarian","0","","1978 Intercosmos Group","0","","Retired"
"","1938-02-03","","0","","0","","False","Vladimir Grigoryevich Fartushny","Ukrainian","0","","Energia Engineer Group 2","0","","Retired"
"63.9","1939-05-14","2003-04-16","0","","0","","False","Mars Nurgaliyevich Fathulin","Russian","0","","Academy of Sciences Group","0","","Deceased"
"","1949-04-13","","0","","1","16d 21h 47m 45s","False","Jean-Jacques   Favier","French","0","","CNES Group 2","0","","Retired"
"","1981-02-26","","0","","0","","False","Andrei Valerevich Fedyaev","Russian","0","","Air Force Group 16","0","","Active"
"","1945-05-20","","0","","0","","False","Nikolai Nikolayevich Fefelov","Russian","0","","Air Force Group 5","0","","Retired"
"83.8","1926-02-07","2009-11-21","0","","1","1d 17m 3s","False","Konstantin Petrovich  Feoktistov","Russian","0","","Voskhod Group","0","","Deceased"
"","1961-09-01","","0","","3","40d 10h 4m 55s","False","Christopher John Ferguson","American","0","","NASA Group 17","0","","Retired"
"","1956-12-31","","0","","1","14d 12m 22s","False","Martin Joseph Fettman","American","0","","","0","","Retired"
"","1965-08-25","","6","1d 18h 18m","3","31d 15h 22m 29s","False","Andrew J. Feustel","American","0","","NASA Group 18","0","","Active"
"60.6","1930-01-21","1990-09-15","0","","0","","False","Valentin Ignatyevich Filatyev","Russian","0","","Air Force Group 1","0","","Deceased"
"","1928-02-26","","0","","2","10d 21h 3m 58s","False","Anatoli Vassilyevich  Filipchenko","Russian","0","","Air Force Group 2","0","","Retired"
"","1967-03-14","","9","2d 36m","3","381d 15h 8m 40s","False","Edward Michael Fincke""Mike""","American","0","","NASA Group 16","0","","Active"
"70.7","1935-12-22","2006-09-19","0","","0","","False","John Lawrence Finley","American","0","","USAF MOL Group 1","0","","Deceased"
"","1974-01-23","","2","6h 59m","1","136d 6h 7m 16s","False","Jack David Fischer""2fish""","American","0","","NASA Group 20","0","","Active"
"","1946-04-01","","2","11h 49m","1","7d 2h 17m 42s","False","William Frederick Fisher","American","0","","NASA Group 9","0","","Retired"
"","1952-08-23","","0","","1","7d 21h 56m 52s","False","Klaus-Dietrich   Flade","German","0","","1990 German Group","0","","Retired"
"","1957-01-06","","4","22h 44m","6","373d 18h 18m 14s","False","Colin Michael Foale""Mike""","American","0","","NASA Group 12","0","","Inactive"
"","1960-07-07","","0","","2","157d 13h 13m 34s","False","Kevin A. Ford","American","0","","NASA Group 18","0","","Inactive"
